WKN,Basiswert,Typ,Bezugs-verhältnis,Basispreis,Bewertungs-tag,Hebel,Kurs Basiswert,Geld,Brief,Untertägige Auktion,Handeln
FA1KU5,EUR/USD,Put,"0,010000:1","1,000000 USD",21.11.2025 00:00:00,"7142,9188","1,1543 USD","0,0040","0,0140",-,-
FA1KUD,EUR/USD,Call,"0,010000:1","1,145000 USD",21.11.2025 00:00:00,"92,5925","1,1543 USD","1,0800","1,0800",-,-
FA1KUR,EUR/USD,Call,"0,010000:1","1,205000 USD",21.11.2025 00:00:00,"6666,7246","1,1543 USD","0,0050","0,0150",-,-
FA1KUW,EUR/USD,Call,"0,010000:1","1,230000 USD",21.11.2025 00:00:00,"7142,9808","1,1543 USD","0,0040","0,0140",-,-
FA1KU2,EUR/USD,Call,"0,010000:1","1,260000 USD",21.11.2025 00:00:00,"7692,3742","1,1543 USD","0,0030","0,0130",-,-
FA1KVD,EUR/USD,Put,"0,010000:1","1,040000 USD",21.11.2025 00:00:00,"7142,9808","1,1543 USD","0,0040","0,0140",-,-
FA1KVR,EUR/USD,Put,"0,010000:1","1,100000 USD",21.11.2025 00:00:00,"6666,7246","1,1543 USD","0,0050","0,0150",-,-
FA1KVW,EUR/USD,Put,"0,010000:1","1,125000 USD",21.11.2025 00:00:00,"2941,0487","1,1543 USD","0,0230","0,0340",-,-
FA1KV7,EUR/USD,Put,"0,010000:1","1,180000 USD",21.11.2025 00:00:00,"45,8695","1,1543 USD","2,1600","2,1800",-,-
FA1KT9,EUR/USD,Call,"0,010000:1","1,125000 USD",21.11.2025 00:00:00,"37,7342","1,1543 USD","2,6500","2,6500",-,-
FA1KUH,EUR/USD,Call,"0,010000:1","1,165000 USD",21.11.2025 00:00:00,"555,5603","1,1543 USD","0,1800","0,1800",-,-
FA1KUM,EUR/USD,Call,"0,010000:1","1,185000 USD",21.11.2025 00:00:00,"3703,5429","1,1543 USD","0,0180","0,0270",-,-
FA1KU6,EUR/USD,Put,"0,010000:1","1,005000 USD",21.11.2025 00:00:00,"7142,9188","1,1543 USD","0,0040","0,0140",-,-
FA1KVK,EUR/USD,Put,"0,010000:1","1,070000 USD",21.11.2025 00:00:00,"7142,9808","1,1543 USD","0,0040","0,0140",-,-
FA1KVF,EUR/USD,Put,"0,010000:1","1,050000 USD",21.11.2025 00:00:00,"7142,9808","1,1543 USD","0,0040","0,0140",-,-
FA1KV0,EUR/USD,Put,"0,010000:1","1,145000 USD",21.11.2025 00:00:00,"555,5458","1,1543 USD","0,1700","0,1800",-,-
FA1KT2,EUR/USD,Call,"0,010000:1","1,090000 USD",21.11.2025 00:00:00,"17,6670","1,1543 USD","5,6600","5,6600",-,-
FA1KVB,EUR/USD,Put,"0,010000:1","1,030000 USD",21.11.2025 00:00:00,"7142,9808","1,1543 USD","0,0040","0,0140",-,-
FA1KVP,EUR/USD,Put,"0,010000:1","1,090000 USD",21.11.2025 00:00:00,"7142,7330","1,1543 USD","0,0040","0,0140",-,-
FA1KVU,EUR/USD,Put,"0,010000:1","1,115000 USD",21.11.2025 00:00:00,"5263,1124","1,1543 USD","0,0090","0,0190",-,-
FA1KV5,EUR/USD,Put,"0,010000:1","1,170000 USD",21.11.2025 00:00:00,"72,4637","1,1543 USD","1,3600","1,3800",-,-
FA1KT5,EUR/USD,Call,"0,010000:1","1,105000 USD",21.11.2025 00:00:00,"22,8823","1,1543 USD","4,3700","4,3700",-,-
FD0DD9,EUR/USD,Call,"0,010000:1","1,280000 USD",21.11.2025 00:00:00,"7142,9188","1,1543 USD","0,0040","0,0140",-,-
FA1198,EUR/USD,Call,"0,010000:1","1,275000 USD",21.11.2025 00:00:00,"7142,9808","1,1543 USD","0,0040","0,0140",-,-
FA1KVJ,EUR/USD,Put,"0,010000:1","1,065000 USD",21.11.2025 00:00:00,"7143,1667","1,1543 USD","0,0040","0,0140",-,-
FA1KV4,EUR/USD,Put,"0,010000:1","1,165000 USD",21.11.2025 00:00:00,"98,0426","1,1543 USD","1,0000","1,0300",-,-
FA1KVA,EUR/USD,Put,"0,010000:1","1,025000 USD",21.11.2025 00:00:00,"7143,2286","1,1543 USD","0,0040","0,0140",-,-
FA1KVY,EUR/USD,Put,"0,010000:1","1,135000 USD",21.11.2025 00:00:00,"1333,3217","1,1543 USD","0,0640","0,0750",-,-
FA1KVT,EUR/USD,Put,"0,010000:1","1,110000 USD",21.11.2025 00:00:00,"5882,3015","1,1543 USD","0,0070","0,0170",-,-
FA1KV9,EUR/USD,Put,"0,010000:1","1,190000 USD",21.11.2025 00:00:00,"33,1122","1,1543 USD","3,0000","3,0300",-,-
FA1KT6,EUR/USD,Call,"0,010000:1","1,110000 USD",21.11.2025 00:00:00,"25,4441","1,1543 USD","3,9300","3,9300",-,-
FD0DEN,EUR/USD,Put,"0,010000:1","1,230000 USD",21.11.2025 00:00:00,"15,4304","1,1543 USD","6,4500","6,4800",-,-
FA1KVH,EUR/USD,Put,"0,010000:1","1,060000 USD",21.11.2025 00:00:00,"7143,2286","1,1543 USD","0,0040","0,0140",-,-
FA1KVM,EUR/USD,Put,"0,010000:1","1,080000 USD",21.11.2025 00:00:00,"7143,2286","1,1543 USD","0,0040","0,0140",-,-
FA1KV2,EUR/USD,Put,"0,010000:1","1,155000 USD",21.11.2025 00:00:00,"217,3894","1,1543 USD","0,4400","0,4600",-,-
FA1KT4,EUR/USD,Call,"0,010000:1","1,100000 USD",21.11.2025 00:00:00,"20,8342","1,1543 USD","4,8000","4,7900",-,-
FA1KT7,EUR/USD,Call,"0,010000:1","1,115000 USD",21.11.2025 00:00:00,"28,5716","1,1543 USD","3,5000","3,5000",-,-
FD0DEJ,EUR/USD,Put,"0,010000:1","1,210000 USD",21.11.2025 00:00:00,"21,0515","1,1543 USD","4,7200","4,7500",-,-
FA1KVE,EUR/USD,Put,"0,010000:1","1,045000 USD",21.11.2025 00:00:00,"7143,5377","1,1543 USD","0,0040","0,0140",-,-
FA1KVX,EUR/USD,Put,"0,010000:1","1,130000 USD",21.11.2025 00:00:00,"2040,8517","1,1543 USD","0,0380","0,0490",-,-
FA1KVS,EUR/USD,Put,"0,010000:1","1,105000 USD",21.11.2025 00:00:00,"6667,4172","1,1543 USD","0,0050","0,0150",-,-
