WKN,Basiswert,Typ,Bezugs-verhältnis,Basispreis,Bewertungs-tag,Hebel,Kurs Basiswert,Geld,Brief,Untertägige Auktion,Handeln
SY6V1L,Gold,Put,"10,000000:1","2140,000000 USD",19.12.2025 00:00:00,"1816,2498","3982,055 USD","0,0140","0,1900",-,-
SY6V1G,Gold,Put,"10,000000:1","2100,000000 USD",19.12.2025 00:00:00,"1816,2726","3982,055 USD","0,0140","0,1900",-,-
SY6V1Z,Gold,Put,"10,000000:1","2270,000000 USD",19.12.2025 00:00:00,"1816,2041","3982,055 USD","0,0140","0,1900",-,-
SY6V16,Gold,Put,"10,000000:1","2340,000000 USD",19.12.2025 00:00:00,"1816,2269","3982,055 USD","0,0140","0,1900",-,-
FD0UDJ,Gold,Call,"10,000000:1","4320,000000 USD",19.12.2025 00:00:00,"145,5612","3982,055 USD","2,3200","2,3700",-,-
SY99H7,Gold,Put,"10,000000:1","2860,000000 USD",19.12.2025 00:00:00,"1816,1411","3982,055 USD","0,0140","0,1900",-,-
SX6YA5,Gold,Put,"10,000000:1","3360,000000 USD",19.12.2025 00:00:00,"1190,0051","3982,055 USD","0,1200","0,2900",-,-
FD1SAB,Gold,Call,"10,000000:1","4460,000000 USD",19.12.2025 00:00:00,"265,3893","3982,055 USD","1,2200","1,3000",-,-
FD0JT3,Gold,Call,"10,000000:1","4200,000000 USD",19.12.2025 00:00:00,"85,3911","3982,055 USD","4,0300","4,0300",-,-
SY6VX7,Gold,Call,"10,000000:1","2190,000000 USD",19.12.2025 00:00:00,"2,2057","3982,055 USD","156,4700","156,3800",-,-
SX6EMU,Gold,Call,"10,000000:1","3720,000000 USD",19.12.2025 00:00:00,"13,1071","3982,055 USD","26,4000","26,2900",-,-
FA0LM7,Gold,Call,"10,000000:1","4000,000000 USD",19.12.2025 00:00:00,"35,4903","3982,055 USD","9,8000","9,7200",-,-
